Sample (50 kS/s),   mV
500, 656.0
510, 632.0
520, 680.0
530, 664.0
540, 624.0
550, 648.0
560, 600.0
570, 640.0
580, 624.0
590, 616.0
600, 624.0
610, 608.0
620, 632.0
630, 616.0
640, 640.0
650, 656.0
660, 608.0
670, 632.0
680, 640.0
690, 656.0
700, 640.0
710, 616.0
720, 600.0
730, 632.0
740, 632.0
750, 608.0
760, 624.0
770, 624.0
780, 592.0
790, 608.0
800, 584.0
810, 600.0
820, 584.0
830, 576.0
840, 568.0
850, 560.0
860, 560.0
870, 560.0
880, 552.0
890, 552.0
900, 560.0
910, 552.0
920, 552.0
930, 560.0
940, 552.0
950, 560.0
960, 528.0
970, 560.0
980, 560.0
990, 568.0
1000, 568.0
1010, 560.0
1020, 552.0
1030, 552.0
1040, 568.0
1050, 560.0
1060, 544.0
1070, 560.0
1080, 520.0
1090, 552.0
1100, 536.0
1110, 528.0
1120, 528.0
1130, 496.0
1140, 528.0
1150, 520.0
1160, 512.0
1170, 520.0
1180, 520.0
1190, 496.0
1200, 512.0
1210, 504.0
1220, 504.0
1230, 512.0
1240, 488.0
1250, 512.0
1260, 512.0
1270, 496.0
1280, 504.0
1290, 480.0
1300, 512.0
1310, 504.0
1320, 504.0
1330, 504.0
1340, 504.0
1350, 496.0
1360, 488.0
1370, 504.0
1380, 496.0
1390, 480.0
1400, 488.0
1410, 480.0
1420, 472.0
1430, 480.0
1440, 472.0
1450, 472.0
1460, 472.0
1470, 464.0
1480, 464.0
1490, 464.0
1500, 464.0
1510, 456.0
1520, 456.0
1530, 464.0
1540, 464.0
1550, 464.0
1560, 464.0
1570, 456.0
1580, 464.0
1590, 456.0
1600, 448.0
1610, 456.0
1620, 448.0
1630, 448.0
1640, 448.0
1650, 440.0
1660, 456.0
1670, 448.0
1680, 440.0
1690, 448.0
1700, 424.0
1710, 440.0
1720, 424.0
1730, 432.0
1740, 432.0
1750, 432.0
1760, 416.0
1770, 440.0
1780, 424.0
1790, 432.0
1800, 424.0
1810, 416.0
1820, 424.0
1830, 416.0
1840, 416.0
1850, 432.0
1860, 408.0
1870, 424.0
1880, 416.0
1890, 416.0
1900, 416.0
1910, 408.0
1920, 416.0
1930, 416.0
1940, 408.0
1950, 408.0
1960, 408.0
1970, 408.0
1980, 408.0
1990, 400.0
2000, 400.0
2010, 392.0
2020, 408.0
2030, 400.0
2040, 400.0
2050, 392.0
2060, 384.0
2070, 400.0
2080, 392.0
2090, 384.0
2100, 384.0
2110, 384.0
2120, 384.0
2130, 392.0
2140, 384.0
2150, 384.0
2160, 392.0
2170, 368.0
2180, 392.0
2190, 376.0
2200, 384.0
2210, 384.0
2220, 368.0
2230, 376.0
2240, 376.0
2250, 376.0
2260, 376.0
2270, 360.0
2280, 376.0
2290, 368.0
2300, 368.0
2310, 376.0
2320, 376.0
2330, 360.0
2340, 368.0
2350, 368.0
2360, 360.0
2370, 368.0
2380, 360.0
2390, 360.0
2400, 360.0
2410, 360.0
2420, 360.0
2430, 360.0
2440, 360.0
2450, 360.0
2460, 360.0
2470, 360.0
2480, 352.0
2490, 352.0
2500, 352.0
2510, 352.0
2520, 360.0
2530, 344.0
2540, 352.0
2550, 352.0
2560, 352.0
2570, 360.0
2580, 352.0
2590, 344.0
2600, 336.0
2610, 344.0
2620, 352.0
2630, 344.0
2640, 336.0
2650, 344.0
2660, 328.0
2670, 336.0
2680, 328.0
2690, 336.0
2700, 336.0
2710, 328.0
2720, 344.0
2730, 336.0
2740, 328.0
2750, 336.0
2760, 328.0
2770, 336.0
2780, 336.0
2790, 320.0
2800, 328.0
2810, 336.0
2820, 320.0
2830, 328.0
2840, 328.0
2850, 328.0
2860, 328.0
2870, 320.0
2880, 328.0
2890, 320.0
2900, 328.0
2910, 328.0
2920, 312.0
2930, 320.0
2940, 312.0
2950, 320.0
2960, 320.0
2970, 312.0
2980, 304.0
2990, 312.0
3000, 312.0
3010, 312.0
3020, 320.0
3030, 312.0
3040, 320.0
3050, 304.0
3060, 312.0
3070, 312.0
3080, 304.0
3090, 312.0
3100, 304.0
3110, 312.0
3120, 304.0
3130, 312.0
3140, 304.0
3150, 304.0
3160, 304.0
3170, 312.0
3180, 304.0
3190, 296.0
3200, 296.0
3210, 304.0
3220, 304.0
3230, 296.0
3240, 296.0
3250, 296.0
3260, 296.0
3270, 304.0
3280, 296.0
3290, 296.0
3300, 296.0
3310, 280.0
3320, 296.0
3330, 288.0
3340, 288.0
3350, 288.0
3360, 280.0
3370, 288.0
3380, 288.0
3390, 280.0
3400, 296.0
3410, 280.0
3420, 288.0
3430, 288.0
3440, 280.0
3450, 280.0
3460, 280.0
3470, 272.0
3480, 280.0
3490, 280.0
3500, 280.0
3510, 280.0
3520, 272.0
3530, 280.0
3540, 280.0
3550, 272.0
3560, 272.0
3570, 264.0
3580, 280.0
3590, 272.0
3600, 264.0
3610, 272.0
3620, 272.0
3630, 264.0
3640, 272.0
3650, 264.0
3660, 272.0
3670, 280.0
3680, 264.0
3690, 264.0
3700, 264.0
3710, 264.0
3720, 272.0
3730, 256.0
3740, 264.0
3750, 264.0
3760, 272.0
3770, 272.0
3780, 264.0
3790, 264.0
3800, 256.0
3810, 264.0
3820, 256.0
3830, 264.0
3840, 256.0
3850, 256.0
3860, 264.0
3870, 256.0
3880, 264.0
3890, 256.0
3900, 256.0
3910, 256.0
3920, 256.0
3930, 256.0
3940, 256.0
3950, 248.0
3960, 256.0
3970, 248.0
3980, 264.0
3990, 256.0
4000, 248.0
4010, 248.0
4020, 256.0
4030, 248.0
4040, 248.0
4050, 240.0
4060, 240.0
4070, 240.0
4080, 240.0
4090, 248.0
4100, 240.0
4110, 248.0
4120, 232.0
4130, 248.0
4140, 248.0
4150, 240.0
4160, 240.0
4170, 232.0
4180, 248.0
4190, 248.0
4200, 240.0
4210, 240.0
4220, 232.0
4230, 248.0
4240, 240.0
4250, 240.0
4260, 232.0
4270, 232.0
4280, 224.0
4290, 240.0
4300, 232.0
4310, 232.0
4320, 232.0
4330, 224.0
4340, 240.0
4350, 232.0
4360, 224.0
4370, 248.0
4380, 216.0
4390, 224.0
4400, 224.0
4410, 224.0
4420, 232.0
4430, 232.0
4440, 224.0
4450, 224.0
4460, 216.0
4470, 224.0
4480, 224.0
4490, 224.0
4500, 224.0
4510, 224.0
4520, 216.0
4530, 216.0
4540, 208.0
4550, 224.0
4560, 216.0
4570, 224.0
4580, 224.0
4590, 216.0
4600, 208.0
4610, 216.0
4620, 224.0
4630, 224.0
4640, 216.0
4650, 208.0
4660, 224.0
4670, 216.0
4680, 216.0
4690, 216.0
4700, 208.0
4710, 216.0
4720, 216.0
4730, 216.0
4740, 208.0
4750, 208.0
4760, 216.0
4770, 208.0
4780, 208.0
4790, 208.0
4800, 208.0
4810, 208.0
4820, 208.0
4830, 216.0
4840, 208.0
4850, 216.0
4860, 200.0
4870, 208.0
4880, 208.0
4890, 208.0
4900, 208.0
4910, 208.0
4920, 208.0
4930, 200.0
4940, 208.0
4950, 208.0
4960, 208.0
4970, 200.0
4980, 208.0
4990, 208.0
