Max Height Percentage, Count, Total Collision Count, Time increment tau[s], MaxH, StartH, Count of y_0' < y_max 
,,1000000,2.50E-09,11.2253854,0.1,41
0%,399909,,,,,
0.10%,218112,,,,,
0.20%,122716,,,,,
0.30%,73890,,,,,
0.40%,46853,,,,,
0.50%,31366,,,,,
0.60%,22049,,,,,
0.70%,15709,,,,,
0.80%,11918,,,,,
0.90%,9245,,,,,
1%,7079,,,,,
1.10%,5705,,,,,
1.20%,4701,,,,,
1.30%,3704,,,,,
1.40%,3132,,,,,
1.50%,2629,,,,,
1.60%,2231,,,,,
1.70%,1832,,,,,
1.80%,1652,,,,,
1.90%,1441,,,,,
2%,1234,,,,,
2.10%,1122,,,,,
2.20%,1004,,,,,
2.30%,940,,,,,
2.40%,761,,,,,
2.50%,641,,,,,
2.60%,605,,,,,
2.70%,554,,,,,
2.80%,492,,,,,
2.90%,497,,,,,
3%,422,,,,,
3.10%,363,,,,,
3.20%,325,,,,,
3.30%,309,,,,,
3.40%,271,,,,,
3.50%,251,,,,,
3.60%,260,,,,,
3.70%,207,,,,,
3.80%,226,,,,,
3.90%,191,,,,,
4%,182,,,,,
4.10%,170,,,,,
4.20%,172,,,,,
4.30%,137,,,,,
4.40%,128,,,,,
4.50%,146,,,,,
4.60%,134,,,,,
4.70%,106,,,,,
4.80%,102,,,,,
4.90%,108,,,,,
5%,113,,,,,
5.10%,76,,,,,
5.20%,93,,,,,
5.30%,82,,,,,
5.40%,67,,,,,
5.50%,61,,,,,
5.60%,55,,,,,
5.70%,65,,,,,
5.80%,57,,,,,
5.90%,77,,,,,
6%,45,,,,,
6.10%,45,,,,,
6.20%,42,,,,,
6.30%,38,,,,,
6.40%,50,,,,,
6.50%,38,,,,,
6.60%,38,,,,,
6.70%,37,,,,,
6.80%,33,,,,,
6.90%,31,,,,,
7%,30,,,,,
7.10%,24,,,,,
7.20%,34,,,,,
7.30%,27,,,,,
7.40%,35,,,,,
7.50%,18,,,,,
7.60%,29,,,,,
7.70%,18,,,,,
7.80%,19,,,,,
7.90%,28,,,,,
8%,16,,,,,
8.10%,25,,,,,
8.20%,14,,,,,
8.30%,20,,,,,
8.40%,24,,,,,
8.50%,17,,,,,
8.60%,12,,,,,
8.70%,18,,,,,
8.80%,12,,,,,
8.90%,19,,,,,
9%,16,,,,,
9.10%,11,,,,,
9.20%,13,,,,,
9.30%,9,,,,,
9.40%,15,,,,,
9.50%,21,,,,,
9.60%,7,,,,,
9.70%,9,,,,,
9.80%,7,,,,,
9.90%,8,,,,,
10%,9,,,,,
10.10%,13,,,,,
10.20%,11,,,,,
10.30%,8,,,,,
10.40%,10,,,,,
10.50%,9,,,,,
10.60%,10,,,,,
10.70%,5,,,,,
10.80%,12,,,,,
10.90%,5,,,,,
11%,2,,,,,
11.10%,7,,,,,
11.20%,5,,,,,
11.30%,3,,,,,
11.40%,8,,,,,
11.50%,4,,,,,
11.60%,4,,,,,
11.70%,10,,,,,
11.80%,4,,,,,
11.90%,5,,,,,
12%,6,,,,,
12.10%,5,,,,,
12.20%,5,,,,,
12.30%,2,,,,,
12.40%,6,,,,,
12.50%,5,,,,,
12.60%,6,,,,,
12.70%,3,,,,,
12.80%,4,,,,,
12.90%,1,,,,,
13%,4,,,,,
13.10%,6,,,,,
13.20%,9,,,,,
13.30%,1,,,,,
13.40%,6,,,,,
13.50%,3,,,,,
13.60%,3,,,,,
13.70%,1,,,,,
13.80%,2,,,,,
13.90%,5,,,,,
14%,1,,,,,
14.10%,2,,,,,
14.20%,5,,,,,
14.30%,3,,,,,
14.40%,3,,,,,
14.50%,1,,,,,
14.60%,2,,,,,
14.70%,1,,,,,
14.80%,1,,,,,
14.90%,0,,,,,
15%,2,,,,,
15.10%,3,,,,,
15.20%,1,,,,,
15.30%,2,,,,,
15.40%,1,,,,,
15.50%,1,,,,,
15.60%,2,,,,,
15.70%,6,,,,,
15.80%,1,,,,,
15.90%,1,,,,,
16%,1,,,,,
16.10%,2,,,,,
16.20%,2,,,,,
16.30%,5,,,,,
16.40%,1,,,,,
16.50%,3,,,,,
16.60%,1,,,,,
16.70%,4,,,,,
16.80%,2,,,,,
16.90%,2,,,,,
17%,1,,,,,
17.10%,1,,,,,
17.20%,3,,,,,
17.30%,0,,,,,
17.40%,1,,,,,
17.50%,0,,,,,
17.60%,0,,,,,
17.70%,0,,,,,
17.80%,2,,,,,
17.90%,2,,,,,
18%,1,,,,,
18.10%,3,,,,,
18.20%,1,,,,,
18.30%,2,,,,,
18.40%,1,,,,,
18.50%,1,,,,,
18.60%,2,,,,,
18.70%,0,,,,,
18.80%,1,,,,,
18.90%,1,,,,,
19%,1,,,,,
19.10%,2,,,,,
19.20%,1,,,,,
19.30%,1,,,,,
19.40%,1,,,,,
19.50%,0,,,,,
19.60%,0,,,,,
19.70%,0,,,,,
19.80%,0,,,,,
19.90%,0,,,,,
20%,2,,,,,
20.10%,0,,,,,
20.20%,3,,,,,
20.30%,1,,,,,
20.40%,0,,,,,
20.50%,0,,,,,
20.60%,0,,,,,
20.70%,0,,,,,
20.80%,0,,,,,
20.90%,1,,,,,
21%,3,,,,,
21.10%,0,,,,,
21.20%,0,,,,,
21.30%,1,,,,,
21.40%,0,,,,,
21.50%,1,,,,,
21.60%,0,,,,,
21.70%,1,,,,,
21.80%,0,,,,,
21.90%,0,,,,,
22%,0,,,,,
22.10%,0,,,,,
22.20%,0,,,,,
22.30%,1,,,,,
22.40%,1,,,,,
22.50%,0,,,,,
22.60%,1,,,,,
22.70%,0,,,,,
22.80%,1,,,,,
22.90%,0,,,,,
23%,1,,,,,
23.10%,1,,,,,
23.20%,0,,,,,
23.30%,2,,,,,
23.40%,3,,,,,
23.50%,0,,,,,
23.60%,1,,,,,
23.70%,0,,,,,
23.80%,1,,,,,
23.90%,0,,,,,
24%,0,,,,,
24.10%,0,,,,,
24.20%,0,,,,,
24.30%,0,,,,,
24.40%,0,,,,,
24.50%,0,,,,,
24.60%,2,,,,,
24.70%,0,,,,,
24.80%,0,,,,,
24.90%,2,,,,,
25%,0,,,,,
25.10%,0,,,,,
25.20%,1,,,,,
25.30%,0,,,,,
25.40%,0,,,,,
25.50%,0,,,,,
25.60%,1,,,,,
25.70%,0,,,,,
25.80%,0,,,,,
25.90%,1,,,,,
26%,0,,,,,
26.10%,0,,,,,
26.20%,1,,,,,
26.30%,0,,,,,
26.40%,0,,,,,
26.50%,0,,,,,
26.60%,0,,,,,
26.70%,0,,,,,
26.80%,0,,,,,
26.90%,0,,,,,
27%,1,,,,,
27.10%,0,,,,,
27.20%,0,,,,,
27.30%,0,,,,,
27.40%,1,,,,,
27.50%,0,,,,,
27.60%,0,,,,,
27.70%,0,,,,,
27.80%,0,,,,,
27.90%,0,,,,,
28%,0,,,,,
28.10%,0,,,,,
28.20%,0,,,,,
28.30%,0,,,,,
28.40%,0,,,,,
28.50%,0,,,,,
28.60%,0,,,,,
28.70%,0,,,,,
28.80%,0,,,,,
28.90%,0,,,,,
29%,0,,,,,
29.10%,0,,,,,
29.20%,0,,,,,
29.30%,0,,,,,
29.40%,0,,,,,
29.50%,0,,,,,
29.60%,0,,,,,
29.70%,0,,,,,
29.80%,0,,,,,
29.90%,0,,,,,
30%,0,,,,,
30.10%,0,,,,,
30.20%,0,,,,,
30.30%,0,,,,,
30.40%,0,,,,,
30.50%,0,,,,,
30.60%,1,,,,,
30.70%,0,,,,,
30.80%,0,,,,,
30.90%,0,,,,,
31%,0,,,,,
31.10%,0,,,,,
31.20%,0,,,,,
31.30%,0,,,,,
31.40%,0,,,,,
31.50%,0,,,,,
31.60%,0,,,,,
31.70%,0,,,,,
31.80%,0,,,,,
31.90%,0,,,,,
32%,0,,,,,
32.10%,0,,,,,
32.20%,0,,,,,
32.30%,0,,,,,
32.40%,0,,,,,
32.50%,0,,,,,
32.60%,1,,,,,
32.70%,0,,,,,
32.80%,0,,,,,
32.90%,0,,,,,
33%,0,,,,,
33.10%,0,,,,,
33.20%,0,,,,,
33.30%,0,,,,,
33.40%,1,,,,,
33.50%,0,,,,,
33.60%,0,,,,,
33.70%,0,,,,,
33.80%,0,,,,,
33.90%,0,,,,,
34%,0,,,,,
34.10%,0,,,,,
34.20%,0,,,,,
34.30%,0,,,,,
34.40%,0,,,,,
34.50%,0,,,,,
34.60%,1,,,,,
34.70%,1,,,,,
34.80%,0,,,,,
34.90%,0,,,,,
35%,0,,,,,
35.10%,0,,,,,
35.20%,0,,,,,
35.30%,0,,,,,
35.40%,0,,,,,
35.50%,0,,,,,
35.60%,1,,,,,
35.70%,0,,,,,
35.80%,0,,,,,
35.90%,0,,,,,
36%,0,,,,,
36.10%,0,,,,,
36.20%,0,,,,,
36.30%,0,,,,,
36.40%,0,,,,,
36.50%,0,,,,,
36.60%,0,,,,,
36.70%,0,,,,,
36.80%,0,,,,,
36.90%,0,,,,,
37%,0,,,,,
37.10%,1,,,,,
37.20%,0,,,,,
37.30%,0,,,,,
37.40%,0,,,,,
37.50%,0,,,,,
37.60%,0,,,,,
37.70%,0,,,,,
37.80%,0,,,,,
37.90%,0,,,,,
38%,0,,,,,
38.10%,0,,,,,
38.20%,0,,,,,
38.30%,0,,,,,
38.40%,0,,,,,
38.50%,0,,,,,
38.60%,0,,,,,
38.70%,0,,,,,
38.80%,0,,,,,
38.90%,1,,,,,
39%,0,,,,,
39.10%,0,,,,,
39.20%,0,,,,,
39.30%,0,,,,,
39.40%,0,,,,,
39.50%,0,,,,,
39.60%,0,,,,,
39.70%,0,,,,,
39.80%,0,,,,,
39.90%,0,,,,,
40%,0,,,,,
40.10%,0,,,,,
40.20%,0,,,,,
40.30%,0,,,,,
40.40%,0,,,,,
40.50%,0,,,,,
40.60%,0,,,,,
40.70%,0,,,,,
40.80%,0,,,,,
40.90%,0,,,,,
41%,0,,,,,
41.10%,0,,,,,
41.20%,0,,,,,
41.30%,0,,,,,
41.40%,0,,,,,
41.50%,1,,,,,
41.60%,0,,,,,
41.70%,0,,,,,
41.80%,0,,,,,
41.90%,0,,,,,
42%,0,,,,,
42.10%,0,,,,,
42.20%,1,,,,,
42.30%,0,,,,,
42.40%,0,,,,,
42.50%,0,,,,,
42.60%,0,,,,,
42.70%,0,,,,,
42.80%,0,,,,,
42.90%,0,,,,,
43%,0,,,,,
43.10%,0,,,,,
43.20%,0,,,,,
43.30%,0,,,,,
43.40%,0,,,,,
43.50%,0,,,,,
43.60%,0,,,,,
43.70%,0,,,,,
43.80%,0,,,,,
43.90%,0,,,,,
44%,0,,,,,
44.10%,0,,,,,
44.20%,0,,,,,
44.30%,0,,,,,
44.40%,0,,,,,
44.50%,0,,,,,
44.60%,0,,,,,
44.70%,0,,,,,
44.80%,0,,,,,
44.90%,0,,,,,
45%,0,,,,,
45.10%,0,,,,,
45.20%,0,,,,,
45.30%,0,,,,,
45.40%,0,,,,,
45.50%,1,,,,,
45.60%,0,,,,,
45.70%,0,,,,,
45.80%,0,,,,,
45.90%,0,,,,,
46%,0,,,,,
46.10%,0,,,,,
46.20%,0,,,,,
46.30%,0,,,,,
46.40%,0,,,,,
46.50%,0,,,,,
46.60%,0,,,,,
46.70%,0,,,,,
46.80%,0,,,,,
46.90%,0,,,,,
47%,0,,,,,
47.10%,0,,,,,
47.20%,0,,,,,
47.30%,0,,,,,
47.40%,0,,,,,
47.50%,0,,,,,
47.60%,0,,,,,
47.70%,0,,,,,
47.80%,0,,,,,
47.90%,1,,,,,
48%,0,,,,,
48.10%,0,,,,,
48.20%,0,,,,,
48.30%,0,,,,,
48.40%,1,,,,,
48.50%,0,,,,,
48.60%,0,,,,,
48.70%,0,,,,,
48.80%,0,,,,,
48.90%,0,,,,,
49%,0,,,,,
49.10%,0,,,,,
49.20%,0,,,,,
49.30%,0,,,,,
49.40%,0,,,,,
49.50%,0,,,,,
49.60%,0,,,,,
49.70%,0,,,,,
49.80%,0,,,,,
49.90%,0,,,,,
50%,0,,,,,
50.10%,0,,,,,
50.20%,0,,,,,
50.30%,0,,,,,
50.40%,0,,,,,
50.50%,0,,,,,
50.60%,0,,,,,
50.70%,1,,,,,
50.80%,0,,,,,
50.90%,0,,,,,
51%,0,,,,,
51.10%,0,,,,,
51.20%,0,,,,,
51.30%,0,,,,,
51.40%,0,,,,,
51.50%,0,,,,,
51.60%,0,,,,,
51.70%,0,,,,,
51.80%,0,,,,,
51.90%,0,,,,,
52%,0,,,,,
52.10%,0,,,,,
52.20%,0,,,,,
52.30%,0,,,,,
52.40%,0,,,,,
52.50%,0,,,,,
52.60%,0,,,,,
52.70%,0,,,,,
52.80%,0,,,,,
52.90%,0,,,,,
53%,0,,,,,
53.10%,0,,,,,
53.20%,0,,,,,
53.30%,0,,,,,
53.40%,0,,,,,
53.50%,0,,,,,
53.60%,0,,,,,
53.70%,0,,,,,
53.80%,0,,,,,
53.90%,0,,,,,
54%,0,,,,,
54.10%,0,,,,,
54.20%,0,,,,,
54.30%,0,,,,,
54.40%,0,,,,,
54.50%,0,,,,,
54.60%,0,,,,,
54.70%,0,,,,,
54.80%,0,,,,,
54.90%,0,,,,,
55%,0,,,,,
55.10%,0,,,,,
55.20%,0,,,,,
55.30%,0,,,,,
55.40%,0,,,,,
55.50%,0,,,,,
55.60%,0,,,,,
55.70%,0,,,,,
55.80%,0,,,,,
55.90%,0,,,,,
56%,0,,,,,
56.10%,0,,,,,
56.20%,0,,,,,
56.30%,0,,,,,
56.40%,0,,,,,
56.50%,0,,,,,
56.60%,0,,,,,
56.70%,0,,,,,
56.80%,0,,,,,
56.90%,0,,,,,
57%,0,,,,,
57.10%,0,,,,,
57.20%,0,,,,,
57.30%,0,,,,,
57.40%,0,,,,,
57.50%,0,,,,,
57.60%,0,,,,,
57.70%,0,,,,,
57.80%,0,,,,,
57.90%,0,,,,,
58%,0,,,,,
58.10%,0,,,,,
58.20%,0,,,,,
58.30%,0,,,,,
58.40%,0,,,,,
58.50%,0,,,,,
58.60%,0,,,,,
58.70%,0,,,,,
58.80%,0,,,,,
58.90%,0,,,,,
59%,0,,,,,
59.10%,0,,,,,
59.20%,0,,,,,
59.30%,0,,,,,
59.40%,0,,,,,
59.50%,0,,,,,
59.60%,0,,,,,
59.70%,0,,,,,
59.80%,0,,,,,
59.90%,0,,,,,
60%,0,,,,,
60.10%,0,,,,,
60.20%,0,,,,,
60.30%,0,,,,,
60.40%,0,,,,,
60.50%,0,,,,,
60.60%,0,,,,,
60.70%,0,,,,,
60.80%,0,,,,,
60.90%,0,,,,,
61%,0,,,,,
61.10%,0,,,,,
61.20%,0,,,,,
61.30%,0,,,,,
61.40%,0,,,,,
61.50%,0,,,,,
61.60%,0,,,,,
61.70%,0,,,,,
61.80%,0,,,,,
61.90%,0,,,,,
62%,0,,,,,
62.10%,0,,,,,
62.20%,0,,,,,
62.30%,0,,,,,
62.40%,0,,,,,
62.50%,0,,,,,
62.60%,0,,,,,
62.70%,0,,,,,
62.80%,0,,,,,
62.90%,0,,,,,
63%,0,,,,,
63.10%,0,,,,,
63.20%,0,,,,,
63.30%,0,,,,,
63.40%,0,,,,,
63.50%,0,,,,,
63.60%,0,,,,,
63.70%,0,,,,,
63.80%,0,,,,,
63.90%,0,,,,,
64%,0,,,,,
64.10%,0,,,,,
64.20%,0,,,,,
64.30%,0,,,,,
64.40%,0,,,,,
64.50%,0,,,,,
64.60%,0,,,,,
64.70%,0,,,,,
64.80%,0,,,,,
64.90%,0,,,,,
65%,0,,,,,
65.10%,0,,,,,
65.20%,0,,,,,
65.30%,0,,,,,
65.40%,0,,,,,
65.50%,0,,,,,
65.60%,0,,,,,
65.70%,0,,,,,
65.80%,0,,,,,
65.90%,0,,,,,
66%,0,,,,,
66.10%,0,,,,,
66.20%,0,,,,,
66.30%,0,,,,,
66.40%,0,,,,,
66.50%,0,,,,,
66.60%,0,,,,,
66.70%,0,,,,,
66.80%,0,,,,,
66.90%,0,,,,,
67%,0,,,,,
67.10%,0,,,,,
67.20%,0,,,,,
67.30%,0,,,,,
67.40%,0,,,,,
67.50%,0,,,,,
67.60%,0,,,,,
67.70%,0,,,,,
67.80%,0,,,,,
67.90%,0,,,,,
68%,0,,,,,
68.10%,0,,,,,
68.20%,0,,,,,
68.30%,0,,,,,
68.40%,0,,,,,
68.50%,0,,,,,
68.60%,0,,,,,
68.70%,0,,,,,
68.80%,0,,,,,
68.90%,0,,,,,
69%,0,,,,,
69.10%,0,,,,,
69.20%,0,,,,,
69.30%,0,,,,,
69.40%,0,,,,,
69.50%,0,,,,,
69.60%,0,,,,,
69.70%,0,,,,,
69.80%,0,,,,,
69.90%,0,,,,,
70%,0,,,,,
70.10%,0,,,,,
70.20%,0,,,,,
70.30%,0,,,,,
70.40%,0,,,,,
70.50%,0,,,,,
70.60%,0,,,,,
70.70%,0,,,,,
70.80%,0,,,,,
70.90%,0,,,,,
71%,0,,,,,
71.10%,0,,,,,
71.20%,0,,,,,
71.30%,0,,,,,
71.40%,0,,,,,
71.50%,0,,,,,
71.60%,0,,,,,
71.70%,0,,,,,
71.80%,0,,,,,
71.90%,0,,,,,
72%,0,,,,,
72.10%,0,,,,,
72.20%,0,,,,,
72.30%,0,,,,,
72.40%,0,,,,,
72.50%,0,,,,,
72.60%,0,,,,,
72.70%,0,,,,,
72.80%,0,,,,,
72.90%,0,,,,,
73%,0,,,,,
73.10%,0,,,,,
73.20%,0,,,,,
73.30%,0,,,,,
73.40%,0,,,,,
73.50%,0,,,,,
73.60%,0,,,,,
73.70%,0,,,,,
73.80%,0,,,,,
73.90%,0,,,,,
74%,0,,,,,
74.10%,0,,,,,
74.20%,0,,,,,
74.30%,0,,,,,
74.40%,0,,,,,
74.50%,0,,,,,
74.60%,0,,,,,
74.70%,0,,,,,
74.80%,0,,,,,
74.90%,0,,,,,
75%,0,,,,,
75.10%,0,,,,,
75.20%,0,,,,,
75.30%,0,,,,,
75.40%,0,,,,,
75.50%,0,,,,,
75.60%,0,,,,,
75.70%,0,,,,,
75.80%,0,,,,,
75.90%,0,,,,,
76%,0,,,,,
76.10%,0,,,,,
76.20%,0,,,,,
76.30%,0,,,,,
76.40%,0,,,,,
76.50%,0,,,,,
76.60%,0,,,,,
76.70%,0,,,,,
76.80%,0,,,,,
76.90%,0,,,,,
77%,0,,,,,
77.10%,0,,,,,
77.20%,0,,,,,
77.30%,0,,,,,
77.40%,0,,,,,
77.50%,0,,,,,
77.60%,0,,,,,
77.70%,0,,,,,
77.80%,0,,,,,
77.90%,0,,,,,
78%,0,,,,,
78.10%,0,,,,,
78.20%,0,,,,,
78.30%,0,,,,,
78.40%,0,,,,,
78.50%,0,,,,,
78.60%,0,,,,,
78.70%,0,,,,,
78.80%,0,,,,,
78.90%,0,,,,,
79%,0,,,,,
79.10%,0,,,,,
79.20%,0,,,,,
79.30%,0,,,,,
79.40%,0,,,,,
79.50%,0,,,,,
79.60%,0,,,,,
79.70%,0,,,,,
79.80%,0,,,,,
79.90%,0,,,,,
80%,0,,,,,
80.10%,0,,,,,
80.20%,0,,,,,
80.30%,0,,,,,
80.40%,0,,,,,
80.50%,0,,,,,
80.60%,0,,,,,
80.70%,0,,,,,
80.80%,0,,,,,
80.90%,0,,,,,
81%,0,,,,,
81.10%,0,,,,,
81.20%,0,,,,,
81.30%,0,,,,,
81.40%,0,,,,,
81.50%,0,,,,,
81.60%,0,,,,,
81.70%,0,,,,,
81.80%,0,,,,,
81.90%,0,,,,,
82%,0,,,,,
82.10%,0,,,,,
82.20%,0,,,,,
82.30%,0,,,,,
82.40%,0,,,,,
82.50%,0,,,,,
82.60%,0,,,,,
82.70%,0,,,,,
82.80%,0,,,,,
82.90%,0,,,,,
83%,0,,,,,
83.10%,0,,,,,
83.20%,0,,,,,
83.30%,0,,,,,
83.40%,0,,,,,
83.50%,0,,,,,
83.60%,0,,,,,
83.70%,0,,,,,
83.80%,0,,,,,
83.90%,0,,,,,
84%,0,,,,,
84.10%,0,,,,,
84.20%,0,,,,,
84.30%,0,,,,,
84.40%,0,,,,,
84.50%,0,,,,,
84.60%,0,,,,,
84.70%,0,,,,,
84.80%,0,,,,,
84.90%,0,,,,,
85%,0,,,,,
85.10%,0,,,,,
85.20%,0,,,,,
85.30%,0,,,,,
85.40%,0,,,,,
85.50%,0,,,,,
85.60%,0,,,,,
85.70%,0,,,,,
85.80%,0,,,,,
85.90%,0,,,,,
86%,0,,,,,
86.10%,0,,,,,
86.20%,0,,,,,
86.30%,0,,,,,
86.40%,0,,,,,
86.50%,0,,,,,
86.60%,0,,,,,
86.70%,0,,,,,
86.80%,0,,,,,
86.90%,0,,,,,
87%,0,,,,,
87.10%,0,,,,,
87.20%,0,,,,,
87.30%,0,,,,,
87.40%,0,,,,,
87.50%,0,,,,,
87.60%,0,,,,,
87.70%,0,,,,,
87.80%,0,,,,,
87.90%,0,,,,,
88%,0,,,,,
88.10%,0,,,,,
88.20%,0,,,,,
88.30%,0,,,,,
88.40%,0,,,,,
88.50%,0,,,,,
88.60%,0,,,,,
88.70%,0,,,,,
88.80%,0,,,,,
88.90%,0,,,,,
89%,0,,,,,
89.10%,0,,,,,
89.20%,0,,,,,
89.30%,0,,,,,
89.40%,0,,,,,
89.50%,0,,,,,
89.60%,0,,,,,
89.70%,0,,,,,
89.80%,0,,,,,
89.90%,0,,,,,
90%,0,,,,,
90.10%,0,,,,,
90.20%,0,,,,,
90.30%,0,,,,,
90.40%,0,,,,,
90.50%,0,,,,,
90.60%,0,,,,,
90.70%,0,,,,,
90.80%,0,,,,,
90.90%,0,,,,,
91%,0,,,,,
91.10%,0,,,,,
91.20%,0,,,,,
91.30%,0,,,,,
91.40%,0,,,,,
91.50%,0,,,,,
91.60%,0,,,,,
91.70%,0,,,,,
91.80%,0,,,,,
91.90%,0,,,,,
92%,0,,,,,
92.10%,0,,,,,
92.20%,0,,,,,
92.30%,0,,,,,
92.40%,0,,,,,
92.50%,0,,,,,
92.60%,0,,,,,
92.70%,0,,,,,
92.80%,0,,,,,
92.90%,0,,,,,
93%,0,,,,,
93.10%,0,,,,,
93.20%,0,,,,,
93.30%,0,,,,,
93.40%,0,,,,,
93.50%,0,,,,,
93.60%,0,,,,,
93.70%,0,,,,,
93.80%,0,,,,,
93.90%,0,,,,,
94%,0,,,,,
94.10%,0,,,,,
94.20%,0,,,,,
94.30%,0,,,,,
94.40%,0,,,,,
94.50%,0,,,,,
94.60%,0,,,,,
94.70%,0,,,,,
94.80%,0,,,,,
94.90%,0,,,,,
95%,0,,,,,
95.10%,0,,,,,
95.20%,0,,,,,
95.30%,0,,,,,
95.40%,0,,,,,
95.50%,0,,,,,
95.60%,0,,,,,
95.70%,0,,,,,
95.80%,0,,,,,
95.90%,0,,,,,
96%,0,,,,,
96.10%,0,,,,,
96.20%,0,,,,,
96.30%,0,,,,,
96.40%,0,,,,,
96.50%,0,,,,,
96.60%,0,,,,,
96.70%,0,,,,,
96.80%,0,,,,,
96.90%,0,,,,,
97%,0,,,,,
97.10%,0,,,,,
97.20%,0,,,,,
97.30%,0,,,,,
97.40%,0,,,,,
97.50%,0,,,,,
97.60%,0,,,,,
97.70%,0,,,,,
97.80%,0,,,,,
97.90%,0,,,,,
98%,0,,,,,
98.10%,0,,,,,
98.20%,0,,,,,
98.30%,0,,,,,
98.40%,0,,,,,
98.50%,0,,,,,
98.60%,0,,,,,
98.70%,0,,,,,
98.80%,0,,,,,
98.90%,0,,,,,
99%,0,,,,,
99.10%,0,,,,,
99.20%,0,,,,,
99.30%,0,,,,,
99.40%,0,,,,,
99.50%,0,,,,,
99.60%,0,,,,,
99.70%,0,,,,,
99.80%,0,,,,,
99.90%,1,,,,,
